scene_id,task_dir,component,candidate,parameters,roi_mode,roi_sample_range,roi_trace_range,mae,mse,rmse,psnr,ssim,roi_energy_retention,outside_roi_residual_energy,cnr_proxy,cnr_gain_vs_baseline,selected,status,warnings
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,mean_background,"{""mode"": ""global_mean""}",auto_proxy,"[727, 1559]","[27, 54]",0.013068683445453644,0.0013244588626548648,0.03639311559422832,33.28492292366737,0.9549467969646229,1.0059881306807392,0.0015093883266672492,-0.020261660370880948,0.29693932445027016,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,svd_rank_1,"{""remove_rank"": 1}",auto_proxy,"[727, 1559]","[27, 54]",0.01341705210506916,0.001333513529971242,0.036517304527733725,33.255333396900625,0.9546335639570644,1.005625208241528,0.0015199546469375491,-0.023640602806617804,0.2935603820145333,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,svd_rank_2,"{""remove_rank"": 2}",auto_proxy,"[727, 1559]","[27, 54]",0.0215818639844656,0.009956911206245422,0.09978432344935462,24.52406131942997,0.5204450968038009,0.8398300211734612,0.011465810239315033,0.16712559819783293,0.484326583018984,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,svd_rank_3,"{""remove_rank"": 3}",auto_proxy,"[727, 1559]","[27, 54]",0.02496492676436901,0.01299423910677433,0.1139922765224659,23.367799121883834,0.26700623976315113,0.6163805920687295,0.014881645329296589,0.46638520523676946,0.7835861900579206,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,svd_rank_10,"{""remove_rank"": 10}",auto_proxy,"[727, 1559]","[27, 54]",0.027131156995892525,0.01408961322158575,0.11869967658585154,23.016316948184283,0.15289481316067663,0.001507061990815877,0.015699468553066254,1.0675752396537246,1.3847762244748756,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,svd_rank_8,"{""remove_rank"": 8}",auto_proxy,"[727, 1559]","[27, 54]",0.027180064469575882,0.014083459042012691,0.118673750433753,23.018214310493036,0.15357785677445504,0.0073885983397104504,0.01569664105772972,1.1081772110806327,1.425378195901784,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,svd_rank_5,"{""remove_rank"": 5}",auto_proxy,"[727, 1559]","[27, 54]",0.02728024311363697,0.013948097825050354,0.11810206528698114,23.06015781495654,0.16847732385776032,0.09137304611228741,0.015600563026964664,0.6428319768627099,0.960032961683861,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_153536_742_scene_gssi1500_single_cylinder_air_sand_cdca_a0440b,Ey,baseline,{},auto_proxy,"[727, 1559]","[27, 54]",0.26302430033683777,0.6792008876800537,0.8241364496732648,15.641040296389795,0.06526545692498796,1.0736390408529572,0.7851277589797974,-0.3172009848211511,0.0,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,median_background,"{""mode"": ""global_median""}",auto_proxy,"[727, 1559]","[27, 54]",0.0007717277621850371,5.115588464832399e-06,0.0022617666689630916,24.490962884041714,0.902703282767656,0.9453696971603645,5.593923106061993e-06,-0.07676377659360145,0.2455479409685628,True,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,mean_background,"{""mode"": ""global_mean""}",auto_proxy,"[727, 1559]","[27, 54]",0.001202677609398961,8.686507499078289e-06,0.002947288160170004,22.191466888906376,0.8266325239207932,0.8729468438892447,9.773634701559786e-06,-0.1042403064728812,0.21807141108928307,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,svd_rank_1,"{""remove_rank"": 1}",auto_proxy,"[727, 1559]","[27, 54]",0.001274331589229405,8.791864274826366e-06,0.0029651078015523087,22.139109127989606,0.8241361425194856,0.8695432379883802,9.896352821670007e-06,-0.11919361991319997,0.20311809764896427,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,svd_rank_2,"{""remove_rank"": 2}",auto_proxy,"[727, 1559]","[27, 54]",0.0017269606469199061,2.4041577489697374e-05,0.0049032211340808785,17.770289272803048,0.30820916826742883,0.26207322038865505,2.6730358513304964e-05,-0.03467035742710042,0.2876413601350638,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,svd_rank_3,"{""remove_rank"": 3}",auto_proxy,"[727, 1559]","[27, 54]",0.0018407268216833472,2.7356785722076893e-05,0.005230371470753955,17.209268190707924,0.12981673469709065,0.12185388153065563,3.029240178875625e-05,0.10581106261747933,0.42812278017964356,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,svd_rank_5,"{""remove_rank"": 5}",auto_proxy,"[727, 1559]","[27, 54]",0.001867600716650486,2.8653332265093923e-05,0.005352880744523824,17.008167518985083,0.04936150211686757,0.00886702630230418,3.1175593903753906e-05,0.1385246909556936,0.4608364085178579,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,svd_rank_8,"{""remove_rank"": 8}",auto_proxy,"[727, 1559]","[27, 54]",0.0018740561790764332,2.8747826945618726e-05,0.005361700005186669,16.993868659534407,0.043223263369033336,0.0002280247473140651,3.1272891646949574e-05,0.2934421335111655,0.6157538510733298,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,svd_rank_10,"{""remove_rank"": 10}",auto_proxy,"[727, 1559]","[27, 54]",0.0018741030944511294,2.874932761187665e-05,0.005361839946499396,16.993641959246304,0.04312424519546528,6.430819573903697e-05,3.127479794784449e-05,0.40318153553658753,0.7254932530987518,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_163735_009_scene_gssi1500_single_cylinder_air_sand_cdca_823a3e,Ey,baseline,{},auto_proxy,"[727, 1559]","[27, 54]",0.26302430033683777,0.6792008876800537,0.8241364496732648,15.641040296389795,0.03167139197419868,65.87054748119967,0.7851277589797974,-0.32231171756216426,0.0,False,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,median_background,"{""mode"": ""global_median""}",auto_proxy,"[727, 1559]","[27, 54]",0.00023615677491761744,2.39325800066581e-07,0.0004892093622025042,38.49089469139402,0.991708469188008,0.9969809216128928,2.145688853261163e-07,0.19738072908532434,0.5183886663696633,True,ok,"[""roi_mode=auto_proxy""]"
2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,D:\GPR_Simulation_Results\01_单次仿真\2026-05-28_175134_703_scene_gssi1500_single_cylinder_air_sand_cdca_ae11ba,Ey,mean_background,"{""mode"": ""global_mean""}",auto_proxy,"[727, 1559]","[27, 54]",0.00087750080274418,3.544336550476146e-06,0.001882640844791206,26.785440352139208,0.9191968752173442,0.8732737489778657,3.941456270695198e-06,0.1403614547955527,0.4613693920798916,False,ok,"[""roi_mode=auto_proxy""]"
